DATE,LFWA64TTUSM647S
1997-05-01,170887100.0
1997-06-01,171077700.0
1997-07-01,171203100.0
1997-08-01,171320900.0
1997-09-01,171527600.0
1997-10-01,171670400.0
1997-11-01,171816900.0
1997-12-01,172015100.0
1998-01-01,172115100.0
1998-02-01,172290700.0
1998-03-01,172394400.0
1998-04-01,172509300.0
1998-05-01,172703700.0
1998-06-01,172928500.0
1998-07-01,173102800.0
1998-08-01,173278400.0
1998-09-01,173435900.0
1998-10-01,173551500.0
1998-11-01,173719700.0
1998-12-01,173885700.0
1999-01-01,174366400.0
1999-02-01,174527300.0
1999-03-01,174666400.0
1999-04-01,174790400.0
1999-05-01,175019000.0
1999-06-01,175244700.0
1999-07-01,175432500.0
1999-08-01,175590200.0
1999-09-01,175720200.0
1999-10-01,175950800.0
1999-11-01,176039200.0
1999-12-01,176186700.0
2000-01-01,178203900.0
2000-02-01,178284000.0
2000-03-01,178368700.0
2000-04-01,178535700.0
2000-05-01,178770800.0
2000-06-01,179073300.0
2000-07-01,179373300.0
2000-08-01,179445800.0
2000-09-01,179619100.0
2000-10-01,179813800.0
2000-11-01,179924600.0
2000-12-01,180063000.0
2001-01-01,180348100.0
2001-02-01,180506600.0
2001-03-01,180598000.0
2001-04-01,180852800.0
2001-05-01,181012800.0
2001-06-01,181358400.0
2001-07-01,181602500.0
2001-08-01,181866300.0
2001-09-01,181985900.0
2001-10-01,182251000.0
2001-11-01,182519900.0
2001-12-01,182718800.0
2002-01-01,182670300.0
2002-02-01,182823800.0
2002-03-01,183080700.0
2002-04-01,183317300.0
2002-05-01,183462800.0
2002-06-01,183672300.0
2002-07-01,183870600.0
2002-08-01,184127400.0
2002-09-01,184244200.0
2002-10-01,184456400.0
2002-11-01,184790300.0
2002-12-01,184908700.0
2003-01-01,185658500.0
2003-02-01,185828600.0
2003-03-01,186123200.0
2003-04-01,186477000.0
2003-05-01,186700000.0
2003-06-01,186893600.0
2003-07-01,187169600.0
2003-08-01,187381500.0
2003-09-01,187557800.0
2003-10-01,187715500.0
2003-11-01,187912100.0
2003-12-01,188026900.0
2004-01-01,187567600.0
2004-02-01,187831600.0
2004-03-01,188108600.0
2004-04-01,188337700.0
2004-05-01,188541200.0
2004-06-01,188690800.0
2004-07-01,188782100.0
2004-08-01,189028700.0
2004-09-01,189281000.0
2004-10-01,189471000.0
2004-11-01,189646600.0
2004-12-01,189848800.0
2005-01-01,190032600.0
2005-02-01,190207300.0
2005-03-01,190428400.0
2005-04-01,190494300.0
2005-05-01,190683400.0
2005-06-01,190897300.0
2005-07-01,191053500.0
2005-08-01,191192400.0
2005-09-01,191475400.0
2005-10-01,191700300.0
2005-11-01,191993200.0
2005-12-01,192186600.0
2006-01-01,192325200.0
2006-02-01,192512400.0
2006-03-01,192617600.0
2006-04-01,192790700.0
2006-05-01,192947700.0
2006-06-01,193183200.0
2006-07-01,193411900.0
2006-08-01,193526000.0
2006-09-01,193586200.0
2006-10-01,193709900.0
2006-11-01,193922900.0
2006-12-01,194094000.0
2007-01-01,194822800.0
2007-02-01,195054600.0
2007-03-01,195155800.0
2007-04-01,195254000.0
2007-05-01,195416700.0
2007-06-01,195663800.0
2007-07-01,195835000.0
2007-08-01,195972100.0
2007-09-01,196067000.0
2007-10-01,196110800.0
2007-11-01,196171800.0
2007-12-01,196412000.0
2008-01-01,196061000.0
2008-02-01,196238800.0
2008-03-01,196376800.0
2008-04-01,196227000.0
2008-05-01,196452100.0
2008-06-01,196513800.0
2008-07-01,196569100.0
2008-08-01,196690600.0
2008-09-01,196839300.0
2008-10-01,196972700.0
2008-11-01,197131200.0
2008-12-01,197421200.0
2009-01-01,197062300.0
2009-02-01,197289600.0
2009-03-01,197534600.0
2009-04-01,197857500.0
2009-05-01,197952100.0
2009-06-01,197605400.0
2009-07-01,197701700.0
2009-08-01,198049100.0
2009-09-01,198373200.0
2009-10-01,198662000.0
2009-11-01,198712000.0
2009-12-01,198771200.0
2010-01-01,198249400.0
2010-02-01,198434400.0
2010-03-01,198655900.0
2010-04-01,198998700.0
2010-05-01,199086300.0
2010-06-01,198931300.0
2010-07-01,199010600.0
2010-08-01,199220300.0
2010-09-01,199525900.0
2010-10-01,199858300.0
2010-11-01,199983600.0
2010-12-01,200024000.0
2011-01-01,199138100.0
2011-02-01,199347900.0
2011-03-01,199555900.0
2011-04-01,199941100.0
2011-05-01,200042800.0
2011-06-01,199989100.0
2011-07-01,200105400.0
2011-08-01,200137900.0
2011-09-01,200256300.0
2011-10-01,200418800.0
2011-11-01,200324200.0
2011-12-01,200310400.0
2012-01-01,200971000.0
2012-02-01,201102500.0
2012-03-01,201258100.0
2012-04-01,201505300.0
2012-05-01,201526600.0
2012-06-01,201453300.0
2012-07-01,201486200.0
2012-08-01,201589900.0
2012-09-01,201604900.0
2012-10-01,201659200.0
2012-11-01,201707000.0
2012-12-01,201842200.0
2013-01-01,201722500.0
2013-02-01,201887700.0
2013-03-01,202027200.0
2013-04-01,202177500.0
2013-05-01,202292800.0
2013-06-01,202279700.0
2013-07-01,202313100.0
2013-08-01,202488300.0
2013-09-01,202629600.0
2013-10-01,202698400.0
2013-11-01,202718800.0
2013-12-01,202733000.0
2014-01-01,202552900.0
2014-02-01,202682900.0
2014-03-01,202708600.0
2014-04-01,202805900.0
2014-05-01,202938200.0
2014-06-01,203041800.0
2014-07-01,203033300.0
2014-08-01,203165800.0
2014-09-01,203210800.0
2014-10-01,203255900.0
2014-11-01,203376500.0
2014-12-01,203419800.0
2015-01-01,203861200.0
2015-02-01,203946000.0
2015-03-01,203976600.0
2015-04-01,203992700.0
2015-05-01,204207600.0
2015-06-01,204412900.0
2015-07-01,204509100.0
2015-08-01,204563300.0
2015-09-01,204605200.0
2015-10-01,204677300.0
2015-11-01,204728300.0
2015-12-01,204756300.0
2016-01-01,205073100.0
2016-02-01,205103300.0
2016-03-01,205204800.0
2016-04-01,205257900.0
2016-05-01,205414700.0
2016-06-01,205549500.0
2016-07-01,205690200.0
2016-08-01,205684400.0
2016-09-01,205734700.0
2016-10-01,205842200.0
2016-11-01,205827800.0
2016-12-01,205937600.0
2017-01-01,205381400.0
2017-02-01,205427400.0
2017-03-01,205328800.0
2017-04-01,205360500.0
2017-05-01,205471300.0
2017-06-01,205639600.0
2017-07-01,205743500.0
2017-08-01,205754800.0
2017-09-01,205682400.0
2017-10-01,205724800.0
2017-11-01,205751100.0
2017-12-01,205857600.0
2018-01-01,206367000.0
2018-02-01,206277800.0
2018-03-01,206232300.0
2018-04-01,206234600.0
2018-05-01,206415200.0
2018-06-01,206576100.0
2018-07-01,206631000.0
2018-08-01,206728200.0
2018-09-01,206669800.0
2018-10-01,206644000.0
2018-11-01,206609700.0
2018-12-01,206775500.0
2019-01-01,206328400.0
2019-02-01,206311500.0
2019-03-01,206132000.0
2019-04-01,206188800.0
2019-05-01,206464400.0
2019-06-01,206527300.0
2019-07-01,206372500.0
2019-08-01,206397000.0
2019-09-01,206303600.0
2019-10-01,206183800.0
2019-11-01,206202200.0
2019-12-01,206268400.0
2020-01-01,205746600.0
2020-02-01,205651500.0
2020-03-01,205304900.0
2020-04-01,206914500.0
2020-05-01,206866500.0
2020-06-01,205549900.0
2020-07-01,205334700.0
2020-08-01,205684300.0
2020-09-01,206083300.0
2020-10-01,205961600.0
2020-11-01,206181500.0
2020-12-01,206153000.0
2021-01-01,205153900.0
2021-02-01,205160200.0
2021-03-01,205132300.0
2021-04-01,205508300.0
2021-05-01,205656900.0
2021-06-01,205405400.0
2021-07-01,205303500.0
2021-08-01,205292300.0
2021-09-01,205455700.0
2021-10-01,205323100.0
2021-11-01,205356600.0
2021-12-01,205325200.0
2022-01-01,207070900.0
2022-02-01,207002500.0
2022-03-01,206836200.0
2022-04-01,206949500.0
2022-05-01,207146600.0
2022-06-01,207387900.0
2022-07-01,207482500.0
2022-08-01,207417500.0
2022-09-01,207476000.0
2022-10-01,207515100.0
2022-11-01,207580200.0
2022-12-01,207566700.0
2023-01-01,208315900.0
2023-02-01,208356500.0
2023-03-01,208207600.0
2023-04-01,208312700.0
2023-05-01,208510400.0
2023-06-01,208659700.0
2023-07-01,208796500.0
2023-08-01,208796500.0
2023-09-01,208933700.0
2023-10-01,208949000.0
2023-11-01,209030000.0
2023-12-01,209112600.0
2024-01-01,208622500.0
2024-02-01,208644000.0
2024-03-01,208588000.0
2024-04-01,208558600.0
2024-05-01,208819700.0
2024-06-01,208896300.0
2024-07-01,208885400.0
2024-08-01,208941900.0
2024-09-01,209099800.0
2024-10-01,209089300.0
