DATE,HLTHSCPCHCSA
2000-01-01,3932.451512827483
2001-01-01,4228.530788555547
2002-01-01,4548.801815145588
2003-01-01,4817.655227649359
2004-01-01,5114.38833323296
2005-01-01,5382.10038076406
2006-01-01,5660.2335883791
2007-01-01,5956.852936555142
2008-01-01,6182.332470220735
2009-01-01,6405.939972349911
2010-01-01,6618.077984980494
2011-01-01,6800.171672788613
2012-01-01,6981.010904955174
2013-01-01,7096.399874279092
2014-01-01,7371.15645327116
2015-01-01,7705.391967144214
2016-01-01,7955.614284488002
2017-01-01,8154.945628486752
2018-01-01,8440.046404832827
2019-01-01,8827.387344865094
2020-01-01,8451.291560033911
2021-01-01,9298.686643580104
