DATE,CUSR0000SEHA
2020-03-01,339.510
2020-04-01,340.252
2020-05-01,341.094
2020-06-01,341.554
2020-07-01,342.324
2020-08-01,342.670
2020-09-01,342.990
2020-10-01,343.498
2020-11-01,343.703
2020-12-01,344.087
2021-01-01,344.415
2021-02-01,345.052
2021-03-01,345.653
2021-04-01,346.371
2021-05-01,347.297
2021-06-01,348.112
2021-07-01,348.909
2021-08-01,350.044
2021-09-01,351.354
2021-10-01,352.774
2021-11-01,354.168
2021-12-01,355.509
2022-01-01,357.322
2022-02-01,359.380
2022-03-01,360.965
2022-04-01,363.055
2022-05-01,365.417
2022-06-01,368.249
2022-07-01,370.998
2022-08-01,373.742
2022-09-01,376.705
2022-10-01,379.311
2022-11-01,382.150
2022-12-01,385.125
2023-01-01,387.845
2023-02-01,390.827
2023-03-01,392.746
2023-04-01,395.012
2023-05-01,397.070
2023-06-01,398.981
2023-07-01,400.873
2023-08-01,402.813
2023-09-01,404.656
2023-10-01,406.561
2023-11-01,408.366
2023-12-01,409.972
2024-01-01,411.460
2024-02-01,413.365
2024-03-01,415.045
2024-04-01,416.507
2024-05-01,418.135
2024-06-01,419.227
2024-07-01,421.272
2024-08-01,422.820
2024-09-01,423.999
2024-10-01,425.253
